CustomerID,Recency_Days,Frequency_Orders,Monetary_Spend,Country,R_Score,F_Score,M_Score,RFM_Score,Customer_Segment
CUST-10000,48,17,1125.55,United Kingdom,2,5,4,254,Need Attention
CUST-10001,14,25,1889.58,Spain,4,5,5,455,Champions
CUST-10002,50,11,908.93,United Kingdom,1,2,3,123,Lost / Hibernating
CUST-10003,33,19,1236.35,United Kingdom,2,5,5,255,Need Attention
CUST-10004,45,7,570.92,United Kingdom,2,1,2,212,About To Sleep
CUST-10005,35,16,1860.76,France,2,5,5,255,Need Attention
CUST-10006,18,9,339.85,United Kingdom,3,1,1,311,Promising
CUST-10007,64,9,328.71,France,1,1,1,111,Lost / Hibernating
CUST-10008,19,13,791.66,Germany,3,3,3,333,Loyal Customers
CUST-10009,92,10,663.94,United Kingdom,1,2,2,122,Lost / Hibernating
CUST-10010,29,10,869.17,United Kingdom,3,2,3,323,Promising
CUST-10011,57,10,738.49,United Kingdom,1,2,3,123,Lost / Hibernating
CUST-10012,43,16,807.21,United Kingdom,2,5,3,253,Need Attention
CUST-10013,11,15,1148.81,United Kingdom,4,4,4,444,Champions
CUST-10014,7,9,614.99,Germany,5,1,2,512,Recent Customers
CUST-10015,126,14,1158.12,United Kingdom,1,4,4,144,At Risk
CUST-10016,21,16,1242.6,France,3,5,5,355,Loyal Customers
CUST-10017,10,15,984.11,Germany,4,4,4,444,Champions
CUST-10018,2,13,1306.8,Germany,5,3,5,535,Loyal Customers
CUST-10019,20,7,521.48,United Kingdom,3,1,2,312,Promising
CUST-10020,140,9,878.03,United Kingdom,1,1,3,113,Lost / Hibernating
CUST-10021,73,8,736.2,United States,1,1,3,113,Lost / Hibernating
CUST-10022,5,12,1046.23,United Kingdom,5,3,4,534,Loyal Customers
CUST-10023,3,14,904.69,United Kingdom,5,4,3,543,Champions
CUST-10024,53,13,1656.35,France,1,3,5,135,At Risk
CUST-10025,12,12,1497.76,United Kingdom,4,3,5,435,Loyal Customers
