InvoiceNo,StockCode,Description,Category,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
INV-503387,PROD-109,Insulated Lunch Cooler Bag,Travel & Outdoors,2,2025-04-13 06:51:00,16.75,CUST-10348,United States
INV-504238,PROD-111,Ceramic Pour-Over Coffee Dripper,Kitchen,1,2025-12-15 15:18:23,19.99,CUST-11117,United Kingdom
INV-500206,PROD-102,Wireless Ergonomic Mouse,Electronics,4,2025-09-28 14:30:53,28.99,CUST-10421,United Kingdom
INV-503534,PROD-105,Noise-Cancelling Headphones,Electronics,1,2025-04-17 11:41:22,89.99,CUST-10714,United Kingdom
INV-502052,PROD-101,Vintage Ceramic Teapot,Home & Kitchen,1,2025-03-13 04:30:58,14.5,CUST-10489,United Kingdom
INV-504306,PROD-108,Aroma Essential Oil Diffuser,Health & Wellness,2,2025-07-08 04:16:29,34.5,CUST-10685,Australia
INV-500028,PROD-106,Leather Executive Notebook,Stationery,2,2025-01-21 07:41:25,22.5,CUST-11147,United Kingdom
INV-501213,PROD-110,Smart LED Desk Lamp,Electronics,5,2025-04-13 16:27:00,45.0,CUST-10581,France
INV-500187,PROD-110,Smart LED Desk Lamp,Electronics,1,2025-05-02 07:33:15,45.0,CUST-10614,Netherlands
INV-501860,PROD-102,Wireless Ergonomic Mouse,Electronics,3,2025-08-03 06:03:17,28.99,CUST-11087,Germany
INV-502572,PROD-102,Wireless Ergonomic Mouse,Electronics,2,2025-11-27 19:48:30,28.99,CUST-10162,Australia
INV-504014,PROD-110,Smart LED Desk Lamp,Electronics,3,2025-03-29 18:25:32,45.0,CUST-10779,United Kingdom
INV-504252,PROD-105,Noise-Cancelling Headphones,Electronics,1,2025-04-10 17:28:27,89.99,CUST-10303,United Kingdom
INV-502127,PROD-107,Bamboo Cutting Board Set,Home & Kitchen,2,2025-12-26 01:59:48,24.0,CUST-10318,United Kingdom
INV-501891,PROD-109,Insulated Lunch Cooler Bag,Travel & Outdoors,1,2025-06-01 06:34:56,16.75,CUST-10684,France
INV-502707,PROD-109,Insulated Lunch Cooler Bag,Travel & Outdoors,3,2025-05-11 00:33:44,16.75,CUST-11029,Germany
INV-501741,PROD-112,Minimalist Cotton Tote Bag,Fashion Accessories,2,2025-05-30 20:20:02,9.99,CUST-10100,Germany
INV-502673,PROD-111,Ceramic Pour-Over Coffee Dripper,Kitchen,10,2025-11-05 09:59:45,19.99,CUST-10415,United Kingdom
INV-501813,PROD-106,Leather Executive Notebook,Stationery,1,2025-09-15 01:49:44,22.5,CUST-10963,United States
INV-504327,PROD-102,Wireless Ergonomic Mouse,Electronics,2,2025-12-10 07:30:44,28.99,CUST-11154,France
INV-500159,PROD-106,Leather Executive Notebook,Stationery,3,2025-10-21 01:28:05,22.5,CUST-10894,France
INV-500343,PROD-101,Vintage Ceramic Teapot,Home & Kitchen,1,2025-07-11 17:31:55,14.5,CUST-10385,France
INV-500204,PROD-111,Ceramic Pour-Over Coffee Dripper,Kitchen,5,2025-10-04 02:02:50,19.99,CUST-11043,United Kingdom
INV-503042,PROD-111,Ceramic Pour-Over Coffee Dripper,Kitchen,4,2025-06-10 04:58:23,19.99,CUST-10294,United Kingdom
INV-502885,PROD-102,Wireless Ergonomic Mouse,Electronics,4,2025-11-10 09:01:39,28.99,CUST-10395,United States
INV-500304,PROD-112,Minimalist Cotton Tote Bag,Fashion Accessories,2,2025-01-22 06:23:15,9.99,CUST-10291,Australia
INV-502717,PROD-103,Stainless Steel Water Bottle,Sports & Outdoors,2,2025-09-10 09:46:40,18.25,CUST-10347,United Kingdom
INV-503941,PROD-105,Noise-Cancelling Headphones,Electronics,1,2025-08-24 19:33:22,89.99,CUST-10764,United Kingdom
INV-500399,PROD-110,Smart LED Desk Lamp,Electronics,1,2025-12-11 03:46:06,45.0,CUST-10043,Germany
INV-503520,PROD-101,Vintage Ceramic Teapot,Home & Kitchen,6,2025-02-18 10:30:22,14.5,CUST-10074,United Kingdom
INV-500985,PROD-112,Minimalist Cotton Tote Bag,Fashion Accessories,1,2025-02-28 14:13:42,9.99,CUST-10052,United Kingdom
INV-501805,PROD-110,Smart LED Desk Lamp,Electronics,4,2025-06-19 14:04:28,45.0,CUST-10065,United Kingdom
INV-502096,PROD-105,Noise-Cancelling Headphones,Electronics,1,2025-07-07 17:44:13,89.99,CUST-10037,United Kingdom
INV-504301,PROD-105,Noise-Cancelling Headphones,Electronics,1,2025-09-28 15:10:43,89.99,CUST-10765,United Kingdom
